"char_id","char_name","char_bd","char_oc","char_img","char_status","char_nickname","char_appearance","char_portrayed","char_category","char_bcs_a"
"25","Carmen Molina","Unknown","High School Principal","https://vignette.wikia.nocookie.net/breakingbad/images/d/de/Carmen.JPG/revision/latest?cb=20100410125233","Alive","Carmen","1,2,3,5,","Carmen Serano","Breaking Bad","None"
"26","Gretchen Schwartz","Unknown","Co-owner Gray Matter","https://vignette.wikia.nocookie.net/breakingbad/images/5/5e/Gretchen_Schwartz.png/revision/latest?cb=20131005103735&path-prefix=es","Alive","Gretchen","1,2,5,","Jessica Hecht","Breaking Bad","None"
"27","Elliot Schwartz","Unknown","Co-Founder Gray Matter","https://vignette.wikia.nocookie.net/breakingbad/images/8/8a/Elliott_Schwartz.png/revision/latest?cb=20131005103743&path-prefix=es","Alive","Elliot","1,5,","Adam Godley","Breaking Bad","None"
"28","Gonzo","Unknown","Tuco's Bodyguard","https://vignette.wikia.nocookie.net/breakingbad/images/d/d6/Gonzo.JPG/revision/latest?cb=20100415212944","Deceased","Gonzo","1,2,","Jesus, Payan, Jr.","Breaking Bad","None"
"29","Christian Ortgea","Unknown","Low-level meth distributor","https://res.cloudinary.com/dwvrok1le/image/upload/v1540314304/c8acek3pimb0hb4efrvf.jpg","Deceased","Combo","1,2,3,","Rodney Rush","Breaking Bad","None"
"30","Mrs. Pinkman","Unknown","unknown","https://vignette.wikia.nocookie.net/breakingbad/images/a/a2/Tess_Harper.jpg/revision/latest?cb=20120923235754","Alive","Jesse's mom","1,2,3,","Tess Harper","Breaking Bad","None"
"31","Adam Pinkman","Unknown","unknown","https://vignette.wikia.nocookie.net/breakingbad/images/c/c9/AdamPinkman.png/revision/latest?cb=20141117180836&path-prefix=es","Alive","Jesse's dad","1,2,3,","Michael Bofshever","Breaking Bad","None"
"32","Jake Pinkman","Unknown","Kid,Jesse's little brother,","https://vignette.wikia.nocookie.net/breakingbad/images/a/a4/Jake.jpg/revision/latest?cb=20121214201656&path-prefix=de","Alive","Jake","1","Ben Petry","Breaking Bad","None"
"33","No-Doze","Unknown","Juarez Cartel Lieutenant","https://vignette.wikia.nocookie.net/breakingbad/images/c/ca/No_Doze_2.png/revision/latest?cb=20131014073210","Deceased","No-Doze","1,2,","Cesar Garcia","Breaking Bad","None"
"34","Emilio Koyama","Unknown","Low-level meth distributor","https://vignette.wikia.nocookie.net/trbreakingbad/images/9/9c/Emilio.jpeg/revision/latest?cb=20161029192022","Deceased","Emilio","1","John Koyama","Breaking Bad","None"
"35","Dr. Delcavoli","Unknown","Physician","https://res.cloudinary.com/dwvrok1le/image/upload/v1540314509/lj5qlbe6xvmmpxnspz6y.jpg","Alive","Dr. Delcavoli","1,2,","David House","Breaking Bad","None"
"36","Wendy S.","Unknown","Prostitute","https://vignette.wikia.nocookie.net/breakingbad/images/c/cc/Wendy.jpg/revision/latest?cb=20170721162715","Alive","Wendy","1,2,3,","Julie Minesci","Breaking Bad","None"
